station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::agrmet::5e7f0458de15,Carpineta,agrmet,44.08903,12.27459,113.0,True,3,B12101|B13003|B13011
MH::agrmet::961d46e49b22,S. Pietro in Vincoli,agrmet,44.31392,12.1602,5.0,True,3,B12101|B13003|B13011
MH::agrmet::a555f8e2069e,Vergiano,agrmet,44.03456,12.5005,36.0,True,3,B12101|B13003|B13011
MH::boa::15070855aa5c,Cervia Porto,boa,44.26714,12.35751,0.0,True,1,B22037
MH::boa::2bb2ab382da0,Cattolica Porto radar,boa,43.97027,12.75068,0.0,True,1,B22037
MH::boa::396335aa9517,Cervia Porto radar,boa,44.26714,12.35752,0.0,True,1,B22037
MH::boa::4b091b931c3f,Nausicaa 2,boa,44.21458,12.47587,0.0,True,10,B12101|B22001|B22004|B22032|B22043|B22070|B22071|B22073|B22074|B22196
MH::boa::a126d939a199,Cattolica Porto,boa,43.97027,12.75067,0.0,True,1,B22037
MH::dpcn-marche::006ea0f88bf6,Baraccola,dpcn-marche,43.57445,13.52388,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::010b8f07c3bf,Villa Potenza,dpcn-marche,43.32726,13.42604,90.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::0dc29a9737d7,Valmir,dpcn-marche,43.0413,13.67875,-1.0,True,1,B13215
MH::dpcn-marche::101b7b974c9d,Pianello di Ostra,dpcn-marche,43.62458,13.12703,0.0,True,1,B13215
MH::dpcn-marche::10b908b4b6b6,Piagge,dpcn-marche,43.7375,12.96922,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::13c1a83002d2,Svarchi,dpcn-marche,43.47547,13.59435,-1.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::1d28cc35dfb7,Ete Vivo,dpcn-marche,43.1358,13.7131,41.0,True,3,B12101|B13003|B13215
MH::dpcn-marche::1e201ff6d532,Agugliano,dpcn-marche,43.5433,13.3806,141.0,True,1,B13011
MH::dpcn-marche::26b2974cd07d,Ripatransone,dpcn-marche,42.99213,13.785,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::28f62c68c686,Passatempo,dpcn-marche,43.44728,13.4492,62.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::29bc6beb8023,Metauro,dpcn-marche,43.76256,12.96747,47.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::2ddc53ead8f4,Ete Morto,dpcn-marche,43.2364,13.6719,33.0,True,1,B13215
MH::dpcn-marche::398e07751e20,Foce Metauro,dpcn-marche,43.82704,13.05262,5.0,True,2,B13011|B13215
MH::dpcn-marche::4387fff0c9da,Chienti 2,dpcn-marche,43.2608,13.59,65.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::453a44434e87,Carassai,dpcn-marche,43.02597,13.64595,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::47d9180dcdd8,Foglia 2,dpcn-marche,43.85179,12.7868,45.0,True,2,B13011|B13215
MH::dpcn-marche::4b30ece76f74,Marina di Montemarciano,dpcn-marche,43.6463,13.34047,-1.0,True,2,B13011|B13215
MH::dpcn-marche::4b4a9f7399a2,Musone,dpcn-marche,43.4756,13.38844,124.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::5604e8920253,Aso,dpcn-marche,43.02143,13.61847,-1.0,True,1,B13215
MH::dpcn-marche::5b2f428cb313,San Benedetto,dpcn-marche,42.9333,13.8892,1.0,True,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::6338346c8bdf,Conca 2,dpcn-marche,43.8839,12.5289,228.0,True,2,B13011|B13215
MH::dpcn-marche::6ae00920b079,Potenza 2,dpcn-marche,43.36473,13.55058,40.0,True,1,B13215
MH::dpcn-marche::726fc555cbad,Foce Musone,dpcn-marche,43.47352,13.63888,3.0,True,1,B13215
MH::dpcn-marche::73546d2b9873,Senigallia,dpcn-marche,43.70103,13.20577,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::8909bd7fffab,Misa,dpcn-marche,43.66254,13.16497,38.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::8e076a8579bf,Tavoleto,dpcn-marche,43.84342,12.5911,-1.0,True,1,B13011
